699K	651	0
683	704	2
684p	670	20
775	775	1
773	773	0
700	781	0
779	779	0
11554X	11554X	18
11554	11554	4
11555B	13616	0
11556	11556	0
11511	11511	0
5125	5125	0
5125B	5125B	2
16579	16579	6
17512	17512	6
16875	16875	2
12597	12597	0
12511	12511	20
12512	12512	10
12521	12521	18
12531	12531	15
1351	1351	25
1353	13515	0
14511	14511	6
14514	14514	0
14565	14565	10
12554P	12554P	15
125581	125581	0
12554	12554	15
125542	125542	15
12547G	12547G	0
12553K	12553K	0
12552	12552	30
12561	12561	0
12562	12562	0
12563	12563	20
12613	12613	0
125641	125641	0
12570	12570	0
13617	12582AJ	0
12570P	12572	0
12575	12575	0
12576	12577	0
12584	12584	0
12603	12603	20
12588	12588	0
4341	4146	0
14522	14522	5
12591	12591	12
11522N	11522	80
11524	11524	20
13111CU	13111CU	0
16592	16592	15
16593	16593	0
125111	125112	1
11531	11531	20
15524A	15524A	0
15521	15521	4
17558	17558	2
17557	17557	0
15531	15531	0
14551	14551	0
14561	14561	15
14515	14515	0
16624	16624	0
16624X	16624X	16
13580H	13584	0
5533	5533	4
5536	5536	0
5535	5535	0
5538	5538	8
13513	13513	5
125972	125972	10
5341	5341	0
115412	115412	70
11541	11541	0
11580	11580	0
11590	11590	10
11548	11548	12
11547	11547	18
11540	11540	6
14585	14585	0
14585P	14587	80
14575P	14574	20
14575	14575	0
12593	12593	24
14590	14583C	0
14607	14607	80
13150B	13150GA	0
145137K	14514	0
11080F	11080F	0
11080G	1580G	0
11080A	11080A	0
11080S	11080S	0
11080	11080	0
145102	145102	5
4321	4421	0
911	911	0
145128	145128	0
16535	16535	12
125121	125121	2
12617	12617	0
11551	11551	6
13521	13521	10
145143	145143	300
145143P15	145180	4
145142	145142	0
4131	4431	0
16540	16540	6
16553	16553	6
13556	13556	180
13556R	13556R	0
13557	13557	15
1451633	1451633	120
16510	16510	35
125131	125131	24
31090	3181	0
3344	3371F	0
11561	11561	20
145168IN	145168IN	30
145168	145168	100
145174	145174	630
14547	14547	0
13545R	13545R	0
13543	13543	12
13553	13553	30
125142	125142	250
125143	125143	0
13560	13560	4
145182IN	145182	190
125130	125130	0
13568	13568	20
145191	145191	1
411	411	1
13561	13561	0
125150	125150	96
125153	125153	96
125180P	1251803	0
125159	125159	0
125152N	125152N	40
13573	13573	4
2324	2324	0
21021	2421XL	0
2125	144402	0
2331	2332	0
2131	2132	0
125170	125170	0
125162	125162	0
13571	13571	45
13581	13581	0
13582	13582	0
13588	13588	40
1800	1800	0
125191	125191	30
